dataset,attack,target_model,clean_accuracy,robust_accuracy,model_robust_accuracy
MNIST,PGDL2,ResNet18,0.9609375,0.9609375,0.96875
MNIST,PGDL2,ResNet34,0.9921875,0.9921875,0.9765625
MNIST,PGDL2,ResNet50,0.98046875,0.98046875,0.96875
MNIST,FGSM,ResNet18,0.98046875,0.98046875,0.56640625
MNIST,FGSM,ResNet34,0.9921875,0.9921875,0.84765625
MNIST,FGSM,ResNet50,0.984375,0.984375,0.52734375
KMNIST,PGDL2,ResNet18,0.90234375,0.90234375,0.91015625
KMNIST,PGDL2,ResNet34,0.9453125,0.94140625,0.921875
KMNIST,PGDL2,ResNet50,0.90234375,0.90234375,0.3203125
KMNIST,FGSM,ResNet18,0.93359375,0.9296875,0.46484375
KMNIST,FGSM,ResNet34,0.90625,0.90234375,0.43359375
KMNIST,FGSM,ResNet50,0.88671875,0.87109375,0.875
FashionMNIST,PGDL2,ResNet18,0.91796875,0.91796875,0.33984375
FashionMNIST,PGDL2,ResNet34,0.90234375,0.90234375,0.890625
FashionMNIST,PGDL2,ResNet50,0.90625,0.90625,0.33203125
FashionMNIST,FGSM,ResNet18,0.8984375,0.87109375,0.78515625
FashionMNIST,FGSM,ResNet34,0.8984375,0.87890625,0.8671875
FashionMNIST,FGSM,ResNet50,0.88671875,0.87109375,0.16796875
